player_id,stats_id,stats_value
11271,5,2.5
11271,6,888
11271,7,23515
11271,8,1.26
11271,9,0.79
11271,10,0.1
11271,11,0.62
11271,12,0.08
11271,13,0.1
11271,14,11971
11271,15,3187
11271,16,2183
11271,17,1.46
11271,18,1.19
11271,19,76.10%
11271,20,19.80%
11271,21,11544
11271,22,7188
11271,23,3367
11271,24,1141
11271,25,254
11271,26,21
11271,27,4786
11271,28,9692
11271,29,584
11271,30,3283
11271,31,141
11271,32,31
11271,33,1.2
12591,1,17063
12591,2,13103
12591,3,31.60%
12591,4,78.1
12591,5,4
12591,6,861
12591,7,22023
12591,8,1.3
12591,9,0.77
12591,10,0.1
12591,11,0.59
12591,12,0.08
12591,13,0.11
12591,14,11405
12591,15,2599
12591,16,1390
12591,17,1.87
12591,18,1.15
12591,19,77.70%
12591,20,17.00%
12591,21,10618
12591,22,7146
12591,23,3098
12591,24,945
12591,25,194
12591,26,22
12591,27,5037
12591,28,8539
12591,29,437
12591,30,2848
12591,31,198
12591,32,41
12591,33,1.2
7938,1,37879
7938,2,31623
7938,3,53.30%
7938,4,89.1
7938,5,4.6
7938,6,1772
7938,7,46706
7938,8,1.2
7938,9,0.81
7938,10,0.15
7938,11,0.68
7938,12,0.1
7938,13,0.1
7938,14,24117
7938,15,6449
7938,16,5003
7938,17,1.29
7938,18,1.18
7938,19,74.80%
7938,20,19.40%
7938,21,22589
7938,22,14081
7938,23,6997
7938,24,2414
7938,25,564
7938,26,61
7938,27,30174
7938,28,355
7938,29,857
7938,30,6127
7938,31,394
7938,32,50
7938,33,1.17
18227,1,9369
18227,2,6979
18227,3,31.30%
18227,4,76.1
18227,5,2.7
18227,6,474
18227,7,12537
18227,8,1.34
18227,9,0.75
18227,10,0.09
18227,11,0.56
18227,12,0.07
18227,13,0.09
18227,14,6358
18227,15,1612
18227,16,812
18227,17,1.99
18227,18,1.2
18227,19,74.40%
18227,20,19.10%
18227,21,6179
18227,22,4062
18227,23,1715
18227,24,461
18227,25,106
18227,26,14
18227,27,2118
18227,28,5533
18227,29,202
18227,30,1440
18227,31,73
18227,32,28
18227,33,1.21
18072,1,9904
18072,2,7896
18072,3,29.10%
18072,4,78
18072,5,2.5
18072,6,478
18072,7,12776
18072,8,1.25
18072,9,0.78
18072,10,0.09
18072,11,0.62
18072,12,0.08
18072,13,0.11
18072,14,6499
18072,15,1578
18072,16,1028
18072,17,1.54
18072,18,1.15
18072,19,76.20%
18072,20,18.30%
18072,21,6277
18072,22,4001
18072,23,1751
18072,24,603
18072,25,128
18072,26,16
18072,27,2352
18072,28,5696
18072,29,183
18072,30,1606
18072,31,83
18072,32,39
18072,33,1.18
7592,1,36293
7592,2,29085
7592,3,35.00%
7592,4,80.3
7592,5,4.3
7592,6,1793
7592,7,46666
7592,8,1.25
7592,9,0.78
7592,10,0.13
7592,11,0.62
7592,12,0.07
7592,13,0.08
7592,14,23693
7592,15,6207
7592,16,4437
7592,17,1.4
7592,18,1.17
7592,19,78.50%
7592,20,18.90%
7592,21,22973
7592,22,14353
7592,23,6700
7592,24,2125
7592,25,467
7592,26,48
7592,27,14483
7592,28,12758
7592,29,1566
7592,30,6978
7592,31,431
7592,32,121
7592,33,1.16
16207,1,8149
16207,2,6556
16207,3,39.70%
16207,4,79.8
16207,5,2.3
16207,6,391
16207,7,10366
16207,8,1.24
16207,9,0.79
16207,10,0.1
16207,11,0.63
16207,12,0.09
16207,13,0.1
16207,14,5400
16207,15,1384
16207,16,921
16207,17,1.5
16207,18,1.19
16207,19,73.30%
16207,20,18.30%
16207,21,4966
16207,22,3335
16207,23,1499
16207,24,458
16207,25,98
16207,26,10
16207,27,3124
16207,28,3177
16207,29,318
16207,30,1435
16207,31,64
16207,32,66
16207,33,1.2
3741,1,34634
3741,2,29087
3741,3,50.40%
